contract_id,contract_date,contract_status,area_name,property_type,rooms,size_sqft,annual_rent_aed,contract_duration_months,tenant_type
RN5000055,2024-09-07,New,Downtown Dubai,Apartment,1.0,1619.9,291574.0,12,Individual
RN5000056,2024-09-07,New,Dubai Silicon Oasis,Apartment,1.0,788.6,47310.0,12,Individual
RN5000057,2024-09-07,New,Downtown Dubai,Apartment,1.0,1918.3,261174.0,12,Individual
RN5000058,2024-09-07,Renewal,Dubai Hills Estate,Townhouse,0.0,2494.4,300298.0,12,Individual
RN5000059,2024-09-07,New,Jumeirah Lake Towers,Apartment,2.0,1159.5,101709.0,12,Individual
RN5000060,2024-09-07,Renewal,Arabian Ranches,Apartment,1.0,784.1,71310.0,12,Individual
RN5000061,2024-09-07,Renewal,Jumeirah Village Circle,Office,,2377.9,157501.0,12,Individual
RN5000062,2024-09-07,New,Al Barsha,Villa,0.0,4448.3,365317.0,12,Individual
RN5000063,2024-09-07,New,Dubai Sports City,Apartment,2.0,1459.3,96383.0,12,Company
RN5000064,2024-09-07,Renewal,Palm Jumeirah,Villa,1.0,3756.0,639659.0,36,Individual
RN5000065,2024-09-07,New,Jumeirah Lake Towers,Apartment,1.0,714.7,58656.0,24,Individual
RN5000066,2024-09-07,Renewal,Arabian Ranches,Villa,2.0,2853.1,231984.0,12,Individual
RN5000067,2024-09-07,Renewal,Dubai Silicon Oasis,Apartment,0.0,626.7,39704.0,36,Individual
RN5000068,2024-09-07,Renewal,Dubai Hills Estate,Apartment,1.0,1385.5,172858.0,24,Individual
RN5000069,2024-09-07,New,Mirdif,Apartment,2.0,754.0,44048.0,12,Individual
RN5000070,2024-09-07,Renewal,Al Furjan,Apartment,0.0,2069.7,140552.0,36,Company
RN5000071,2024-09-07,New,Jumeirah Village Circle,Townhouse,3.0,3982.7,300657.0,12,Individual
RN5000072,2024-09-07,New,Mirdif,Apartment,0.0,1883.0,138693.0,12,Individual
RN5000073,2024-09-07,Renewal,Palm Jumeirah,Apartment,2.0,2076.4,409063.0,12,Individual
RN5000074,2024-09-07,New,Mirdif,Apartment,1.0,2181.8,130300.0,12,Individual
RN5000075,2024-09-07,New,Mirdif,Apartment,3.0,597.3,35523.0,12,Company
RN5000076,2024-09-07,Renewal,Downtown Dubai,Townhouse,1.0,4164.7,663646.0,12,Company
RN5000077,2024-09-07,Renewal,Al Barsha,Apartment,2.0,785.0,60799.0,12,Individual
RN5000078,2024-09-07,New,Business Bay,Apartment,0.0,1944.9,199443.0,12,Individual
RN5000079,2024-09-07,Renewal,Mirdif,Office,,1792.7,121751.0,12,Individual
RN5000080,2024-09-07,Renewal,Deira,Apartment,1.0,2107.3,129709.0,24,Individual
RN5000081,2024-09-07,Renewal,Business Bay,Apartment,4.0,701.9,73004.0,12,Individual
RN5000082,2024-09-07,New,Downtown Dubai,Townhouse,2.0,4271.3,492280.0,12,Individual
RN5000083,2024-09-07,Renewal,Dubai Sports City,Apartment,4.0,547.4,30260.0,12,Individual
RN5000084,2024-09-07,New,Jumeirah Lake Towers,Villa,1.0,4306.0,372618.0,12,Individual
RN5000085,2024-09-07,Renewal,Mirdif,Villa,1.0,5421.4,393940.0,12,Individual
RN5000086,2024-09-07,New,Jumeirah Lake Towers,Apartment,2.0,2177.5,227554.0,24,Individual
RN5000087,2024-09-07,Renewal,Arabian Ranches,Apartment,0.0,1832.5,177032.0,12,Individual
RN5000088,2024-09-07,New,Jumeirah Lake Towers,Apartment,0.0,1880.3,150568.0,12,Individual
RN5000089,2024-09-07,Renewal,DIFC,Apartment,2.0,459.1,56169.0,12,Company
RN5000090,2024-09-07,Renewal,Downtown Dubai,Apartment,0.0,1071.0,130544.0,12,Individual
RN5000091,2024-09-07,New,DIFC,Apartment,1.0,1855.2,214942.0,12,Individual
RN5000092,2024-09-07,Renewal,Al Furjan,Apartment,3.0,1023.0,71036.0,12,Company
RN5000093,2024-09-07,Renewal,Al Barsha,Apartment,1.0,1287.6,80712.0,12,Individual
RN5000094,2024-09-07,New,Al Furjan,Apartment,2.0,501.1,35992.0,12,Company
RN5000095,2024-09-07,New,Al Furjan,Townhouse,0.0,4031.5,316063.0,12,Individual
RN5000096,2024-09-07,Renewal,Al Furjan,Apartment,3.0,1524.5,94391.0,12,Individual
RN5000097,2024-09-07,New,Palm Jumeirah,Apartment,1.0,1647.5,280753.0,12,Individual
RN5000098,2024-09-07,Renewal,Al Barsha,Apartment,2.0,1485.9,106127.0,12,Company
RN5000099,2024-09-07,New,DIFC,Apartment,2.0,2038.5,299377.0,12,Individual
RN5000100,2024-09-07,Renewal,Dubai Marina,Apartment,4.0,1571.9,171065.0,12,Individual
RN5000101,2024-09-07,Renewal,Jumeirah Village Circle,Apartment,3.0,1870.1,143219.0,12,Company
RN5000102,2024-09-07,New,Al Barsha,Townhouse,1.0,2151.8,157827.0,12,Individual
RN5000103,2024-09-07,New,DIFC,Apartment,2.0,524.8,87938.0,12,Individual
RN5000104,2024-09-07,Renewal,DIFC,Villa,0.0,5616.5,853216.0,12,Individual
RN5000105,2024-09-07,New,Arabian Ranches,Villa,1.0,3912.6,319356.0,12,Individual
RN5000106,2024-09-07,Renewal,Jumeirah Lake Towers,Apartment,4.0,603.5,56142.0,24,Individual
RN5000107,2024-09-07,Renewal,Al Barsha,Villa,1.0,5084.6,382767.0,12,Individual
RN5000108,2024-09-07,New,Dubai Silicon Oasis,Apartment,3.0,820.4,50497.0,12,Individual
RN5000109,2024-09-07,New,Downtown Dubai,Apartment,3.0,1501.4,201082.0,24,Individual
RN5000110,2024-09-07,New,Arabian Ranches,Apartment,3.0,470.6,41831.0,12,Company
RN5000111,2024-09-07,Renewal,Dubai Hills Estate,Office,,4347.0,501546.0,24,Individual
RN5000112,2024-09-08,New,Arabian Ranches,Apartment,4.0,837.0,79434.0,12,Individual
RN5000113,2024-09-08,Renewal,Jumeirah Lake Towers,Apartment,0.0,1412.5,136739.0,12,Company
RN5000114,2024-09-08,Renewal,Arabian Ranches,Villa,2.0,5637.1,495493.0,12,Company
RN5000115,2024-09-08,New,Mirdif,Apartment,2.0,763.2,43673.0,12,Individual
RN5000116,2024-09-08,Renewal,Al Furjan,Apartment,2.0,2113.2,141169.0,12,Individual
RN5000117,2024-09-08,New,Business Bay,Townhouse,2.0,1898.9,186521.0,24,Individual
RN5000118,2024-09-08,New,Al Barsha,Apartment,3.0,1623.8,135336.0,36,Individual
RN5000119,2024-09-08,Renewal,Mirdif,Apartment,1.0,883.7,57627.0,12,Individual
RN5000120,2024-09-08,New,Dubai Marina,Apartment,1.0,989.4,98311.0,12,Individual
RN5000121,2024-09-08,New,Palm Jumeirah,Apartment,0.0,777.0,144223.0,12,Individual
RN5000122,2024-09-08,Renewal,Dubai Silicon Oasis,Apartment,0.0,2086.7,123382.0,12,Individual
RN5000123,2024-09-08,New,Mirdif,Townhouse,2.0,2977.1,163780.0,12,Individual
RN5000124,2024-09-08,New,Mirdif,Apartment,2.0,655.1,39576.0,12,Individual
RN5000125,2024-09-08,Renewal,Jumeirah Lake Towers,Apartment,4.0,1015.6,114291.0,12,Individual
RN5000126,2024-09-08,New,Mirdif,Office,,3434.5,222254.0,12,Individual
RN5000127,2024-09-08,Renewal,Dubai Hills Estate,Apartment,2.0,1080.4,117954.0,12,Individual
RN5000128,2024-09-08,New,Mirdif,Apartment,0.0,997.5,56710.0,12,Individual
RN5000129,2024-09-08,Renewal,Dubai Hills Estate,Apartment,2.0,1194.7,102986.0,12,Company
RN5000130,2024-09-08,New,DIFC,Apartment,3.0,2095.7,407473.0,12,Individual
RN5000131,2024-09-08,Renewal,Dubai Hills Estate,Apartment,0.0,468.5,52101.0,36,Individual
RN5000132,2024-09-08,Renewal,Jumeirah Village Circle,Apartment,3.0,507.5,41617.0,12,Company
RN5000133,2024-09-08,Renewal,Dubai Silicon Oasis,Apartment,2.0,2136.6,125776.0,12,Individual
RN5000134,2024-09-08,New,DIFC,Apartment,0.0,1981.0,334121.0,12,Individual
RN5000135,2024-09-08,New,Al Furjan,Townhouse,2.0,2948.3,214222.0,12,Company
RN5000136,2024-09-08,New,Jumeirah Lake Towers,Apartment,4.0,1862.6,206048.0,12,Individual
RN5000137,2024-09-08,New,Jumeirah Lake Towers,Townhouse,1.0,2138.0,167531.0,12,Individual
RN5000138,2024-09-08,Renewal,Deira,Villa,2.0,5677.6,341501.0,12,Individual
RN5000139,2024-09-08,Renewal,Downtown Dubai,Villa,1.0,4211.0,550464.0,12,Individual
RN5000140,2024-09-08,New,Dubai Marina,Apartment,1.0,1558.5,180079.0,12,Individual
RN5000141,2024-09-08,Renewal,Al Furjan,Apartment,1.0,661.1,44424.0,12,Individual
RN5000142,2024-09-08,Renewal,Arabian Ranches,Apartment,1.0,501.8,45468.0,12,Individual
RN5000143,2024-09-08,New,Dubai Hills Estate,Apartment,2.0,768.7,99630.0,12,Individual
RN5000144,2024-09-08,New,DIFC,Apartment,3.0,1395.5,201319.0,12,Individual
RN5000145,2024-09-08,Renewal,Downtown Dubai,Apartment,2.0,460.6,58555.0,12,Company
RN5000146,2024-09-08,Renewal,Deira,Apartment,3.0,1371.0,77753.0,24,Individual
RN5000147,2024-09-08,Renewal,Al Furjan,Apartment,2.0,1920.6,139778.0,24,Individual
RN5000148,2024-09-08,New,Dubai Hills Estate,Apartment,2.0,2087.6,225515.0,12,Individual
RN5000149,2024-09-08,Renewal,Jumeirah Lake Towers,Apartment,2.0,1851.0,187519.0,12,Company
RN5000150,2024-09-08,New,Palm Jumeirah,Apartment,2.0,1364.9,236705.0,12,Individual
RN5000151,2024-09-08,Renewal,Dubai Hills Estate,Office,,3978.4,392158.0,12,Individual
RN5000152,2024-09-08,New,Mirdif,Apartment,3.0,1518.8,90171.0,12,Company
RN5000153,2024-09-08,New,Deira,Apartment,3.0,755.4,42757.0,24,Individual
RN5000154,2024-09-08,Renewal,Arabian Ranches,Apartment,1.0,1012.8,81725.0,12,Individual
RN5000155,2024-09-08,Renewal,Business Bay,Apartment,1.0,1371.4,144117.0,12,Individual
RN5000156,2024-09-08,Renewal,Al Furjan,Apartment,1.0,1140.6,80060.0,24,Individual
RN5000157,2024-09-08,New,Dubai Sports City,Villa,2.0,5040.3,278527.0,12,Individual
RN5000158,2024-09-08,Renewal,Business Bay,Apartment,2.0,1872.6,194251.0,12,Individual
RN5000159,2024-09-08,New,Dubai Silicon Oasis,Townhouse,3.0,4208.4,240080.0,12,Individual
RN5000160,2024-09-08,Renewal,Deira,Apartment,1.0,1528.3,86326.0,12,Individual
RN5000161,2024-09-08,Renewal,Jumeirah Lake Towers,Apartment,0.0,1051.8,97250.0,12,Individual
RN5000162,2024-09-08,New,DIFC,Villa,2.0,2556.3,333726.0,12,Individual
RN5000163,2024-09-08,New,Al Barsha,Office,,3960.8,305442.0,12,Individual
RN5000164,2024-09-08,Renewal,Deira,Townhouse,2.0,2229.0,121520.0,24,Individual
RN5000165,2024-09-08,New,Dubai Hills Estate,Apartment,1.0,1390.4,170015.0,12,Company
RN5000166,2024-09-08,New,Business Bay,Apartment,1.0,1607.0,161093.0,12,Individual
RN5000167,2024-09-08,Renewal,Al Barsha,Villa,1.0,5001.2,405150.0,12,Individual
RN5000168,2024-09-08,Renewal,Deira,Apartment,2.0,2043.0,101190.0,12,Individual
RN5000169,2024-09-08,New,Dubai Sports City,Apartment,2.0,1417.2,96674.0,12,Company
RN5000170,2024-09-08,Renewal,DIFC,Apartment,3.0,1810.5,274315.0,12,Individual
RN5000171,2024-09-08,New,Dubai Hills Estate,Villa,3.0,5922.0,532823.0,12,Individual
RN5000172,2024-09-08,Renewal,Mirdif,Townhouse,0.0,3151.6,208017.0,12,Individual
RN5000173,2024-09-08,Renewal,Deira,Apartment,3.0,1476.8,87384.0,12,Individual
RN5000174,2024-09-08,New,Downtown Dubai,Apartment,0.0,1907.0,250401.0,12,Individual
RN5000175,2024-09-08,New,Al Barsha,Apartment,1.0,1833.6,133826.0,12,Individual
RN5000176,2024-09-08,New,Jumeirah Lake Towers,Apartment,1.0,1323.7,123100.0,12,Individual
RN5000177,2024-09-08,New,Jumeirah Lake Towers,Apartment,1.0,1738.3,161786.0,12,Individual
RN5000178,2024-09-08,New,Dubai Marina,Apartment,2.0,1402.1,164707.0,12,Individual
RN5000179,2024-09-08,New,Deira,Villa,0.0,4776.2,247317.0,12,Individual
RN5000180,2024-09-08,New,Al Furjan,Apartment,0.0,1180.3,79076.0,36,Individual
RN5000181,2024-09-08,New,Dubai Hills Estate,Apartment,2.0,1315.1,127311.0,12,Individual
RN5000182,2024-09-08,Renewal,DIFC,Townhouse,3.0,3121.0,426744.0,12,Individual
RN5000183,2024-09-08,New,DIFC,Villa,3.0,4205.7,770868.0,12,Individual
RN5000184,2024-09-08,Renewal,Dubai Silicon Oasis,Apartment,2.0,923.2,51313.0,12,Individual
RN5000185,2024-09-08,New,Jumeirah Lake Towers,Apartment,1.0,1124.8,112136.0,12,Individual
RN5000186,2024-09-08,New,Al Furjan,Apartment,1.0,1590.5,123951.0,12,Individual
RN5000187,2024-09-08,New,Al Furjan,Apartment,1.0,2118.0,151632.0,36,Individual
RN5000188,2024-09-08,Renewal,Al Furjan,Villa,1.0,2984.3,202399.0,12,Company
RN5000189,2024-09-08,Renewal,Arabian Ranches,Apartment,3.0,1216.7,104037.0,12,Individual
RN5000190,2024-09-08,Renewal,Dubai Marina,Apartment,3.0,765.2,98588.0,12,Company
RN5000191,2024-09-08,New,Dubai Sports City,Townhouse,1.0,2017.2,134131.0,12,Individual
RN5000192,2024-09-08,New,Dubai Silicon Oasis,Apartment,2.0,844.6,53688.0,24,Individual
RN5000193,2024-09-08,Renewal,Dubai Hills Estate,Apartment,1.0,1092.9,130768.0,24,Individual
RN5000194,2024-09-08,New,Business Bay,Apartment,1.0,548.6,51029.0,12,Individual
RN5000195,2024-09-08,Renewal,Jumeirah Village Circle,Office,,4676.1,323018.0,12,Individual
RN5000196,2024-09-08,Renewal,Mirdif,Villa,1.0,5391.7,299476.0,12,Individual
RN5000197,2024-09-08,New,Business Bay,Apartment,2.0,1834.5,185897.0,24,Individual
RN5000198,2024-09-08,New,Jumeirah Village Circle,Apartment,1.0,1005.9,75715.0,12,Individual
RN5000199,2024-09-08,New,Al Barsha,Apartment,2.0,1082.6,87082.0,12,Individual
RN5000200,2024-09-08,Renewal,Mirdif,Townhouse,2.0,3510.1,220295.0,12,Individual
RN5000201,2024-09-08,Renewal,Dubai Sports City,Apartment,1.0,2095.1,139219.0,12,Company
RN5000202,2024-09-08,New,Downtown Dubai,Villa,0.0,2691.1,426066.0,12,Individual
RN5000203,2024-09-08,New,Dubai Hills Estate,Office,,4856.1,476713.0,36,Individual
RN5000204,2024-09-08,Renewal,Palm Jumeirah,Apartment,1.0,1101.5,207017.0,12,Individual
RN5000205,2024-09-08,Renewal,Arabian Ranches,Apartment,3.0,1323.4,129308.0,12,Individual
RN5000206,2024-09-08,Renewal,Dubai Silicon Oasis,Apartment,4.0,595.9,38851.0,24,Individual
RN5000207,2024-09-08,New,Arabian Ranches,Apartment,3.0,1904.8,166973.0,12,Individual
RN5000208,2024-09-08,Renewal,Al Barsha,Apartment,0.0,1319.1,101089.0,12,Individual
RN5000209,2024-09-08,New,Al Furjan,Apartment,0.0,1409.9,94418.0,12,Individual
RN5000210,2024-09-08,Renewal,Dubai Marina,Apartment,0.0,1754.3,198113.0,12,Company
RN5000211,2024-09-08,New,Dubai Hills Estate,Apartment,0.0,1450.6,142127.0,12,Individual
RN5000212,2024-09-08,New,Deira,Apartment,2.0,811.4,45847.0,12,Individual
RN5000213,2024-09-08,Renewal,Palm Jumeirah,Apartment,1.0,2140.6,466880.0,12,Individual
RN5000214,2024-09-08,Renewal,DIFC,Apartment,3.0,1376.7,205556.0,12,Individual
RN5000215,2024-09-08,New,Business Bay,Townhouse,1.0,2423.6,226863.0,12,Individual
RN5000216,2024-09-08,New,Palm Jumeirah,Apartment,3.0,1829.3,330581.0,12,Individual
RN5000217,2024-09-08,New,DIFC,Office,,3009.5,490230.0,12,Individual
RN5000218,2024-09-08,New,Al Barsha,Apartment,2.0,1222.3,94691.0,12,Individual
RN5000219,2024-09-08,New,Arabian Ranches,Office,,4319.0,404245.0,12,Individual
RN5000220,2024-09-08,New,Dubai Sports City,Apartment,1.0,1056.8,68868.0,12,Individual
RN5000221,2024-09-08,New,Deira,Townhouse,2.0,2599.5,147231.0,12,Individual
RN5000222,2024-09-08,Renewal,Jumeirah Village Circle,Apartment,0.0,1368.0,98284.0,12,Individual
RN5000223,2024-09-08,Renewal,Mirdif,Office,,1512.5,98959.0,24,Individual
RN5000224,2024-09-08,New,Dubai Sports City,Office,,1222.4,73315.0,12,Individual
RN5000225,2024-09-08,Renewal,Dubai Marina,Villa,2.0,4341.9,519720.0,12,Individual
RN5000226,2024-09-08,New,Jumeirah Lake Towers,Apartment,1.0,454.5,46922.0,12,Individual
RN5000227,2024-09-08,New,Arabian Ranches,Townhouse,1.0,2813.7,253238.0,12,Individual
RN5000228,2024-09-08,Renewal,Dubai Silicon Oasis,Apartment,0.0,949.4,48101.0,12,Individual
RN5000229,2024-09-08,Renewal,Arabian Ranches,Apartment,0.0,902.8,87223.0,12,Company
RN5000230,2024-09-08,New,Al Furjan,Apartment,3.0,1848.1,118759.0,12,Individual
RN5000231,2024-09-08,Renewal,Palm Jumeirah,Apartment,2.0,764.8,142216.0,12,Individual
RN5000232,2024-09-08,New,Deira,Apartment,1.0,2084.4,127329.0,12,Individual
RN5000233,2024-09-08,New,Deira,Apartment,4.0,837.2,47083.0,24,Individual
RN5000234,2024-09-08,New,Dubai Silicon Oasis,Townhouse,1.0,3068.4,154811.0,12,Individual
RN5000235,2024-09-08,Renewal,Jumeirah Village Circle,Villa,1.0,3203.1,188987.0,12,Individual
RN5000236,2024-09-08,New,Arabian Ranches,Villa,3.0,5015.2,482892.0,24,Individual
RN5000237,2024-09-08,Renewal,Al Furjan,Apartment,2.0,1131.4,90991.0,12,Individual
RN5000238,2024-09-08,New,Jumeirah Village Circle,Townhouse,1.0,3257.5,221080.0,12,Individual
RN5000239,2024-09-08,New,Mirdif,Apartment,2.0,651.8,38832.0,12,Individual
RN5000240,2024-09-08,New,Jumeirah Village Circle,Apartment,2.0,2159.6,151990.0,12,Individual
RN5000241,2024-09-09,Renewal,Business Bay,Apartment,1.0,1699.3,166378.0,24,Individual
RN5000242,2024-09-09,New,Deira,Apartment,2.0,1532.7,89201.0,12,Individual
RN5000243,2024-09-09,Renewal,DIFC,Villa,1.0,3787.7,537447.0,12,Individual
RN5000244,2024-09-09,New,Downtown Dubai,Office,,2923.5,465194.0,12,Individual
RN5000245,2024-09-09,New,Al Furjan,Apartment,3.0,1570.5,104085.0,24,Individual
RN5000246,2024-09-09,Renewal,Dubai Silicon Oasis,Apartment,1.0,1407.3,83817.0,24,Individual
RN5000247,2024-09-09,Renewal,Jumeirah Village Circle,Villa,2.0,5256.2,329167.0,24,Individual
RN5000248,2024-09-09,New,Business Bay,Villa,1.0,4131.2,358955.0,12,Company
RN5000249,2024-09-09,New,Deira,Apartment,1.0,624.5,30063.0,12,Individual
RN5000250,2024-09-09,Renewal,Jumeirah Village Circle,Apartment,2.0,1711.8,130989.0,12,Individual
RN5000251,2024-09-09,Renewal,Mirdif,Apartment,1.0,1162.2,64115.0,24,Company
RN5000252,2024-09-09,Renewal,Al Furjan,Apartment,1.0,2072.9,163670.0,12,Company
RN5000253,2024-09-09,Renewal,Dubai Silicon Oasis,Apartment,4.0,781.4,52655.0,12,Individual
RN5000254,2024-09-09,New,Palm Jumeirah,Apartment,1.0,869.9,135337.0,12,Individual
RN5000255,2024-09-09,New,Jumeirah Village Circle,Apartment,2.0,1201.7,94356.0,12,Individual
RN5000256,2024-09-09,Renewal,Downtown Dubai,Townhouse,1.0,2171.1,283388.0,36,Individual
RN5000257,2024-09-09,New,Mirdif,Villa,1.0,3993.1,266221.0,12,Individual
RN5000258,2024-09-09,Renewal,Dubai Hills Estate,Apartment,0.0,977.1,97256.0,12,Company
RN5000259,2024-09-09,Renewal,Jumeirah Lake Towers,Apartment,1.0,933.1,66195.0,12,Individual
RN5000260,2024-09-09,New,Al Furjan,Apartment,1.0,1293.2,98466.0,12,Individual
RN5000261,2024-09-09,New,Al Barsha,Apartment,2.0,2187.8,177274.0,24,Individual
RN5000262,2024-09-09,New,Dubai Silicon Oasis,Apartment,2.0,2146.8,119245.0,12,Individual
RN5000263,2024-09-09,Renewal,Mirdif,Apartment,3.0,472.1,24909.0,12,Individual
RN5000264,2024-09-09,Renewal,DIFC,Apartment,2.0,462.4,73197.0,24,Company
RN5000265,2024-09-09,New,Downtown Dubai,Apartment,1.0,532.6,73306.0,36,Company
RN5000266,2024-09-09,New,Mirdif,Apartment,2.0,1428.1,92482.0,12,Individual
RN5000267,2024-09-09,New,Downtown Dubai,Apartment,4.0,1474.1,225292.0,12,Company
RN5000268,2024-09-09,New,Mirdif,Apartment,1.0,706.2,44020.0,12,Individual
RN5000269,2024-09-09,Renewal,Deira,Office,,2385.4,129497.0,12,Company
RN5000270,2024-09-09,New,Jumeirah Lake Towers,Apartment,2.0,1487.5,146693.0,12,Individual
RN5000271,2024-09-09,New,Al Barsha,Apartment,0.0,2124.9,182068.0,12,Company
RN5000272,2024-09-09,New,Deira,Apartment,0.0,2185.6,133350.0,12,Individual
RN5000273,2024-09-09,New,Mirdif,Apartment,3.0,1923.7,108469.0,12,Individual
RN5000274,2024-09-09,Renewal,DIFC,Apartment,2.0,1550.0,258234.0,12,Individual
RN5000275,2024-09-09,New,Al Furjan,Office,,4993.8,391143.0,12,Individual
RN5000276,2024-09-09,Renewal,Downtown Dubai,Apartment,2.0,2024.1,318912.0,12,Individual
RN5000277,2024-09-09,New,Deira,Apartment,1.0,1829.3,106066.0,12,Company
RN5000278,2024-09-09,New,Dubai Marina,Apartment,4.0,565.3,60995.0,12,Company
RN5000279,2024-09-09,New,Deira,Apartment,1.0,483.3,28564.0,24,Company
RN5000280,2024-09-09,New,Downtown Dubai,Apartment,3.0,1643.4,243096.0,12,Individual
RN5000281,2024-09-09,Renewal,Mirdif,Apartment,3.0,1022.8,67264.0,12,Individual
RN5000282,2024-09-09,New,Deira,Apartment,1.0,1002.6,48618.0,12,Individual
