transaction_id,transaction_date,procedure_type,registration_type,area_name,property_type,rooms,size_sqft,price_per_sqft_aed,transaction_value_aed,developer_name
TX1000028,2024-09-07,Mortgage,Existing Property,Arabian Ranches,Apartment,1.0,627.9,1567.2,984055.0,
TX1000029,2024-09-07,Sale,Off-Plan Property,Jumeirah Village Circle,Land,,14022.9,832.1,11667974.0,Azizi Developments
TX1000030,2024-09-07,Sale,Off-Plan Property,Downtown Dubai,Apartment,3.0,2029.6,1909.2,3875071.0,Binghatti Developers
TX1000031,2024-09-07,Mortgage,Existing Property,Dubai Hills Estate,Apartment,1.0,1574.3,1640.8,2583198.0,
TX1000032,2024-09-07,Gift,Existing Property,Al Furjan,Apartment,4.0,1388.1,1117.1,1550614.0,
TX1000033,2024-09-07,Sale,Existing Property,Downtown Dubai,Land,,8016.4,2315.3,18560453.0,
TX1000034,2024-09-07,Sale,Off-Plan Property,Dubai Sports City,Apartment,2.0,1569.2,894.1,1403039.0,Meraas
TX1000035,2024-09-07,Sale,Off-Plan Property,Deira,Apartment,2.0,1179.6,882.0,1040327.0,Nakheel
TX1000036,2024-09-07,Sale,Off-Plan Property,Business Bay,Apartment,1.0,1023.1,1491.0,1525496.0,Nakheel
TX1000037,2024-09-07,Sale,Off-Plan Property,Jumeirah Village Circle,Land,,14335.2,1014.2,14539064.0,Nakheel
TX1000038,2024-09-07,Sale,Existing Property,Deira,Office,,1910.5,883.8,1688487.0,
TX1000039,2024-09-07,Sale,Off-Plan Property,Jumeirah Village Circle,Townhouse,2.0,4091.1,1046.6,4281601.0,Danube Properties
TX1000040,2024-09-07,Sale,Existing Property,Dubai Marina,Office,,3311.4,1714.9,5678802.0,
TX1000041,2024-09-07,Sale,Existing Property,DIFC,Office,,3780.5,2110.4,7978208.0,
TX1000042,2024-09-07,Sale,Off-Plan Property,Dubai Silicon Oasis,Apartment,1.0,1665.9,822.7,1370580.0,Binghatti Developers
TX1000043,2024-09-07,Sale,Off-Plan Property,Dubai Marina,Apartment,1.0,1720.0,2035.6,3501177.0,Damac Properties
TX1000044,2024-09-07,Mortgage,Existing Property,Jumeirah Village Circle,Townhouse,2.0,4389.0,995.8,4370672.0,
TX1000045,2024-09-07,Sale,Existing Property,Palm Jumeirah,Villa,4.0,7587.1,2798.1,21229460.0,
TX1000046,2024-09-07,Mortgage,Off-Plan Property,DIFC,Apartment,2.0,893.4,1806.1,1613651.0,Dubai Properties
TX1000047,2024-09-07,Sale,Off-Plan Property,Dubai Silicon Oasis,Apartment,2.0,749.8,918.7,688813.0,Meraas
TX1000048,2024-09-08,Sale,Existing Property,Dubai Sports City,Apartment,5.0,1422.9,911.7,1297280.0,
TX1000049,2024-09-08,Mortgage,Existing Property,Jumeirah Lake Towers,Land,,3840.7,1753.6,6734996.0,
TX1000050,2024-09-08,Sale,Existing Property,Al Barsha,Townhouse,3.0,2859.9,1318.0,3769378.0,
TX1000051,2024-09-08,Mortgage,Existing Property,Al Barsha,Apartment,1.0,1209.1,1330.6,1608855.0,
TX1000052,2024-09-08,Mortgage,Existing Property,Palm Jumeirah,Apartment,0.0,766.6,2943.1,2256242.0,
TX1000053,2024-09-08,Mortgage,Off-Plan Property,Deira,Land,,5027.1,821.6,4130433.0,Ellington Properties
TX1000054,2024-09-08,Sale,Off-Plan Property,Business Bay,Villa,1.0,6311.9,949.2,5991372.0,Dubai Properties
TX1000055,2024-09-08,Mortgage,Existing Property,Dubai Sports City,Land,,12966.6,1025.3,13294433.0,
TX1000056,2024-09-08,Sale,Existing Property,Al Furjan,Apartment,3.0,1586.0,1072.7,1701258.0,
TX1000057,2024-09-08,Sale,Existing Property,Dubai Marina,Office,,667.3,1632.5,1089396.0,
TX1000058,2024-09-08,Sale,Off-Plan Property,Jumeirah Lake Towers,Villa,2.0,6006.9,1554.9,9340372.0,Nakheel
TX1000059,2024-09-08,Sale,Existing Property,Dubai Marina,Apartment,2.0,1795.1,2442.6,4384618.0,
TX1000060,2024-09-08,Mortgage,Existing Property,Dubai Silicon Oasis,Villa,4.0,8412.1,839.4,7060971.0,
TX1000061,2024-09-08,Sale,Existing Property,Dubai Marina,Villa,2.0,4713.8,1664.4,7845771.0,
TX1000062,2024-09-08,Mortgage,Existing Property,Al Barsha,Apartment,1.0,2055.3,1156.5,2376918.0,
TX1000063,2024-09-08,Sale,Existing Property,DIFC,Apartment,0.0,1043.0,2909.0,3034131.0,
TX1000064,2024-09-08,Mortgage,Off-Plan Property,Dubai Silicon Oasis,Office,,4666.3,840.9,3924080.0,Meraas
TX1000065,2024-09-08,Sale,Off-Plan Property,Arabian Ranches,Apartment,3.0,1497.3,1232.8,1845888.0,Binghatti Developers
TX1000066,2024-09-08,Sale,Off-Plan Property,Dubai Sports City,Apartment,2.0,1559.1,795.7,1240498.0,Emaar Properties
TX1000067,2024-09-08,Sale,Off-Plan Property,Jumeirah Lake Towers,Apartment,5.0,1782.5,1478.0,2634567.0,Binghatti Developers
TX1000068,2024-09-08,Gift,Off-Plan Property,Palm Jumeirah,Apartment,3.0,1818.5,2234.5,4063472.0,Dubai Properties
TX1000069,2024-09-08,Sale,Existing Property,Dubai Silicon Oasis,Office,,2424.4,832.6,2018517.0,
TX1000070,2024-09-08,Sale,Off-Plan Property,Dubai Silicon Oasis,Townhouse,1.0,3566.1,1008.3,3595776.0,Dubai Properties
TX1000071,2024-09-08,Sale,Existing Property,Dubai Hills Estate,Apartment,0.0,1734.1,1363.7,2364789.0,
TX1000072,2024-09-08,Sale,Existing Property,Jumeirah Lake Towers,Land,,12105.5,1407.0,17032350.0,
TX1000073,2024-09-08,Mortgage,Off-Plan Property,Dubai Sports City,Office,,4933.5,1001.2,4939616.0,Azizi Developments
TX1000074,2024-09-08,Sale,Existing Property,Al Furjan,Apartment,1.0,1170.3,1037.0,1213545.0,
TX1000075,2024-09-08,Sale,Existing Property,Jumeirah Lake Towers,Office,,2955.1,1386.1,4096103.0,
TX1000076,2024-09-08,Sale,Off-Plan Property,DIFC,Apartment,2.0,2068.2,2495.0,5160310.0,Danube Properties
TX1000077,2024-09-08,Sale,Off-Plan Property,Jumeirah Village Circle,Land,,2633.1,883.3,2325732.0,Sobha Realty
TX1000078,2024-09-08,Gift,Off-Plan Property,Jumeirah Lake Towers,Villa,3.0,7136.2,1521.9,10860197.0,Binghatti Developers
TX1000079,2024-09-08,Sale,Existing Property,Dubai Hills Estate,Villa,1.0,7705.7,1750.2,13486225.0,
TX1000080,2024-09-08,Mortgage,Existing Property,Al Barsha,Apartment,0.0,1538.3,1099.9,1691960.0,
TX1000081,2024-09-08,Sale,Off-Plan Property,Jumeirah Village Circle,Office,,2767.3,841.4,2328419.0,Emaar Properties
TX1000082,2024-09-08,Sale,Existing Property,Jumeirah Village Circle,Apartment,3.0,1152.4,1007.3,1160763.0,
TX1000083,2024-09-08,Sale,Off-Plan Property,Business Bay,Apartment,4.0,865.9,983.6,851698.0,Nakheel
TX1000084,2024-09-08,Mortgage,Existing Property,Mirdif,Apartment,2.0,973.2,784.8,763722.0,
TX1000085,2024-09-08,Sale,Existing Property,Business Bay,Townhouse,1.0,2542.0,1561.3,3968807.0,
TX1000086,2024-09-08,Sale,Existing Property,Dubai Marina,Apartment,3.0,598.4,2040.5,1221100.0,
TX1000087,2024-09-08,Sale,Off-Plan Property,Mirdif,Office,,4114.2,1000.5,4116412.0,Damac Properties
TX1000088,2024-09-08,Sale,Existing Property,Deira,Villa,2.0,5151.6,839.6,4325077.0,
TX1000089,2024-09-08,Mortgage,Existing Property,Arabian Ranches,Apartment,2.0,2195.8,1222.7,2684765.0,
TX1000090,2024-09-08,Sale,Existing Property,Jumeirah Lake Towers,Apartment,2.0,1136.6,1430.4,1625894.0,
TX1000091,2024-09-08,Sale,Existing Property,Dubai Hills Estate,Apartment,1.0,685.1,2041.3,1398559.0,
TX1000092,2024-09-08,Sale,Existing Property,Dubai Marina,Villa,2.0,3812.9,1986.0,7572168.0,
TX1000093,2024-09-08,Sale,Off-Plan Property,Dubai Silicon Oasis,Townhouse,5.0,3513.3,903.5,3174178.0,Binghatti Developers
TX1000094,2024-09-09,Sale,Off-Plan Property,Mirdif,Apartment,1.0,1768.6,848.8,1501297.0,Damac Properties
TX1000095,2024-09-09,Sale,Existing Property,Jumeirah Village Circle,Apartment,2.0,775.1,1008.0,781312.0,
TX1000096,2024-09-09,Sale,Existing Property,Dubai Hills Estate,Villa,2.0,4186.4,1758.2,7360481.0,
TX1000097,2024-09-09,Sale,Off-Plan Property,Dubai Sports City,Land,,14471.3,920.9,13326162.0,Dubai Properties
TX1000098,2024-09-09,Sale,Existing Property,Dubai Hills Estate,Apartment,1.0,643.7,1698.8,1093511.0,
TX1000099,2024-09-09,Sale,Off-Plan Property,Palm Jumeirah,Apartment,5.0,1788.4,3081.8,5511516.0,Dubai Properties
TX1000100,2024-09-09,Mortgage,Off-Plan Property,Deira,Apartment,1.0,2169.1,653.9,1418362.0,Emaar Properties
TX1000101,2024-09-09,Sale,Existing Property,Jumeirah Village Circle,Land,,5958.1,1005.5,5990613.0,
TX1000102,2024-09-09,Mortgage,Off-Plan Property,Dubai Sports City,Apartment,2.0,619.7,772.3,478575.0,Binghatti Developers
TX1000103,2024-09-09,Sale,Existing Property,Dubai Sports City,Apartment,1.0,739.3,1004.6,742704.0,
TX1000104,2024-09-09,Sale,Off-Plan Property,Jumeirah Village Circle,Apartment,1.0,1940.9,926.4,1798076.0,Sobha Realty
TX1000105,2024-09-09,Mortgage,Existing Property,Al Barsha,Apartment,3.0,1099.7,1195.7,1314914.0,
TX1000106,2024-09-09,Mortgage,Off-Plan Property,Mirdif,Apartment,1.0,1801.6,1056.6,1903628.0,Danube Properties
TX1000107,2024-09-09,Sale,Off-Plan Property,Jumeirah Lake Towers,Apartment,3.0,2018.2,1124.1,2268753.0,Binghatti Developers
TX1000108,2024-09-09,Mortgage,Existing Property,Palm Jumeirah,Apartment,2.0,764.1,3431.3,2621866.0,
TX1000109,2024-09-09,Sale,Off-Plan Property,Deira,Apartment,4.0,879.2,889.8,782320.0,Azizi Developments
TX1000110,2024-09-09,Sale,Off-Plan Property,DIFC,Apartment,1.0,1043.8,2490.1,2599243.0,Sobha Realty
TX1000111,2024-09-09,Gift,Off-Plan Property,DIFC,Apartment,3.0,732.2,2163.6,1584142.0,Azizi Developments
TX1000112,2024-09-09,Sale,Off-Plan Property,Downtown Dubai,Apartment,2.0,1355.9,2830.0,3837232.0,Sobha Realty
TX1000113,2024-09-09,Mortgage,Off-Plan Property,Jumeirah Village Circle,Villa,5.0,5324.7,917.2,4883926.0,Sobha Realty
TX1000114,2024-09-09,Sale,Existing Property,Al Furjan,Apartment,1.0,1293.6,1282.2,1658561.0,
TX1000115,2024-09-09,Mortgage,Existing Property,Palm Jumeirah,Apartment,1.0,1420.2,2539.0,3605968.0,
TX1000116,2024-09-09,Sale,Existing Property,Jumeirah Village Circle,Apartment,4.0,502.6,1141.8,573855.0,
TX1000117,2024-09-09,Sale,Off-Plan Property,Jumeirah Village Circle,Apartment,2.0,1012.7,1003.6,1016372.0,Sobha Realty
TX1000118,2024-09-09,Sale,Existing Property,Business Bay,Apartment,5.0,1380.8,1671.1,2307466.0,
TX1000119,2024-09-09,Sale,Existing Property,Business Bay,Apartment,2.0,1882.0,841.8,1584227.0,
TX1000120,2024-09-09,Sale,Existing Property,Dubai Hills Estate,Office,,1103.2,1798.8,1984459.0,
TX1000121,2024-09-09,Sale,Off-Plan Property,Dubai Sports City,Apartment,3.0,1047.4,831.4,870870.0,Meraas
TX1000122,2024-09-09,Sale,Existing Property,Downtown Dubai,Apartment,3.0,1539.7,2401.1,3697083.0,
TX1000123,2024-09-09,Sale,Off-Plan Property,Jumeirah Village Circle,Apartment,2.0,820.9,965.5,792588.0,Meraas
TX1000124,2024-09-09,Sale,Existing Property,Downtown Dubai,Apartment,1.0,454.0,1910.1,867274.0,
TX1000125,2024-09-09,Mortgage,Off-Plan Property,Deira,Apartment,1.0,558.6,798.6,446134.0,Emaar Properties
TX1000126,2024-09-09,Sale,Existing Property,Palm Jumeirah,Townhouse,4.0,3507.2,3331.0,11682413.0,
TX1000127,2024-09-09,Mortgage,Existing Property,Jumeirah Lake Towers,Office,,1868.1,1313.5,2453773.0,
TX1000128,2024-09-09,Sale,Off-Plan Property,Deira,Apartment,2.0,1256.9,760.1,955343.0,Sobha Realty
TX1000129,2024-09-09,Mortgage,Off-Plan Property,Jumeirah Lake Towers,Apartment,3.0,2112.6,1069.8,2260098.0,Sobha Realty
TX1000130,2024-09-09,Sale,Existing Property,DIFC,Apartment,2.0,1930.5,2865.1,5531020.0,
TX1000131,2024-09-09,Sale,Existing Property,Arabian Ranches,Apartment,3.0,2011.9,1358.7,2733408.0,
TX1000132,2024-09-09,Sale,Off-Plan Property,Al Furjan,Villa,3.0,4466.1,1134.3,5065911.0,Damac Properties
TX1000133,2024-09-09,Sale,Off-Plan Property,Al Barsha,Apartment,2.0,1155.5,1124.2,1299036.0,Sobha Realty
TX1000134,2024-09-09,Sale,Existing Property,Mirdif,Apartment,2.0,2037.4,1021.2,2080586.0,
TX1000135,2024-09-09,Sale,Existing Property,Mirdif,Land,,6450.7,915.2,5904004.0,
TX1000136,2024-09-09,Gift,Off-Plan Property,Deira,Apartment,3.0,1220.1,733.4,894791.0,Azizi Developments
TX1000137,2024-09-09,Sale,Off-Plan Property,Dubai Silicon Oasis,Apartment,1.0,1597.2,820.2,1309911.0,Emaar Properties
TX1000138,2024-09-09,Sale,Off-Plan Property,Palm Jumeirah,Villa,1.0,3785.8,2802.7,10610316.0,Sobha Realty
TX1000139,2024-09-09,Gift,Off-Plan Property,Al Furjan,Apartment,1.0,1618.7,980.2,1586628.0,Emaar Properties
TX1000140,2024-09-09,Sale,Existing Property,Dubai Silicon Oasis,Apartment,4.0,946.2,928.2,878251.0,
TX1000141,2024-09-09,Sale,Off-Plan Property,Dubai Sports City,Apartment,5.0,804.4,999.9,804350.0,Danube Properties
TX1000142,2024-09-09,Mortgage,Off-Plan Property,Jumeirah Village Circle,Office,,3206.3,982.1,3149014.0,Nakheel
TX1000143,2024-09-09,Mortgage,Off-Plan Property,Jumeirah Lake Towers,Apartment,3.0,1010.9,1546.9,1563710.0,Damac Properties
TX1000144,2024-09-09,Sale,Existing Property,Al Barsha,Apartment,4.0,490.6,1090.1,534859.0,
TX1000145,2024-09-10,Sale,Off-Plan Property,Business Bay,Townhouse,2.0,3976.7,1453.3,5779378.0,Damac Properties
TX1000146,2024-09-10,Mortgage,Off-Plan Property,Mirdif,Office,,2670.9,679.5,1814820.0,Sobha Realty
TX1000147,2024-09-10,Mortgage,Existing Property,Al Furjan,Apartment,1.0,1145.7,1013.8,1161519.0,
TX1000148,2024-09-10,Sale,Existing Property,Al Furjan,Apartment,1.0,1011.9,1169.2,1183082.0,
TX1000149,2024-09-10,Mortgage,Off-Plan Property,Jumeirah Village Circle,Apartment,2.0,1965.8,848.0,1667034.0,Nakheel
TX1000150,2024-09-10,Sale,Existing Property,Jumeirah Village Circle,Townhouse,4.0,2965.1,1058.2,3137658.0,
TX1000151,2024-09-10,Mortgage,Off-Plan Property,Al Furjan,Office,,4690.8,966.2,4532241.0,Meraas
TX1000152,2024-09-10,Sale,Off-Plan Property,Deira,Apartment,3.0,1239.3,880.0,1090619.0,Sobha Realty
TX1000153,2024-09-10,Sale,Off-Plan Property,Dubai Silicon Oasis,Townhouse,2.0,3296.9,760.7,2507774.0,Sobha Realty
TX1000154,2024-09-10,Sale,Off-Plan Property,Al Barsha,Apartment,2.0,615.6,1034.3,636728.0,Nakheel
TX1000155,2024-09-10,Sale,Off-Plan Property,Arabian Ranches,Apartment,1.0,825.4,1269.4,1047831.0,Binghatti Developers
TX1000156,2024-09-10,Sale,Existing Property,DIFC,Land,,12748.3,2878.3,36693358.0,
TX1000157,2024-09-10,Sale,Existing Property,Al Furjan,Apartment,1.0,1495.4,1166.5,1744366.0,
TX1000158,2024-09-10,Sale,Off-Plan Property,Dubai Hills Estate,Apartment,2.0,2104.7,1576.6,3318111.0,Nakheel
TX1000159,2024-09-10,Mortgage,Existing Property,Al Furjan,Apartment,3.0,458.1,1035.1,474144.0,
TX1000160,2024-09-10,Sale,Existing Property,Palm Jumeirah,Villa,3.0,6157.3,3077.5,18949156.0,
TX1000161,2024-09-10,Sale,Existing Property,Arabian Ranches,Land,,13077.9,1119.1,14636037.0,
TX1000162,2024-09-10,Mortgage,Off-Plan Property,Dubai Sports City,Land,,8054.8,959.0,7724442.0,Binghatti Developers
TX1000163,2024-09-10,Sale,Off-Plan Property,Mirdif,Apartment,2.0,1028.8,852.6,877156.0,Azizi Developments
TX1000164,2024-09-10,Sale,Off-Plan Property,Dubai Sports City,Apartment,2.0,923.1,909.9,839931.0,Emaar Properties
TX1000165,2024-09-10,Mortgage,Existing Property,Jumeirah Village Circle,Townhouse,5.0,3248.5,1139.9,3703032.0,
TX1000166,2024-09-10,Mortgage,Existing Property,Al Furjan,Apartment,2.0,1947.4,973.7,1896063.0,
TX1000167,2024-09-10,Sale,Existing Property,Mirdif,Office,,4439.5,772.6,3429743.0,
TX1000168,2024-09-10,Mortgage,Existing Property,Mirdif,Villa,2.0,7771.3,1015.5,7891473.0,
TX1000169,2024-09-10,Sale,Off-Plan Property,Downtown Dubai,Apartment,2.0,2168.8,1849.7,4011584.0,Dubai Properties
TX1000170,2024-09-10,Sale,Off-Plan Property,Jumeirah Lake Towers,Office,,2321.0,1228.7,2851917.0,Azizi Developments
TX1000171,2024-09-10,Mortgage,Existing Property,Mirdif,Apartment,1.0,1916.0,985.5,1888266.0,
TX1000172,2024-09-10,Sale,Existing Property,Jumeirah Lake Towers,Apartment,2.0,1980.1,1464.9,2900694.0,
TX1000173,2024-09-10,Mortgage,Existing Property,Palm Jumeirah,Apartment,1.0,1261.4,3889.6,4906422.0,
TX1000174,2024-09-10,Sale,Off-Plan Property,Jumeirah Lake Towers,Apartment,0.0,1619.6,1393.3,2256584.0,Ellington Properties
TX1000175,2024-09-10,Mortgage,Off-Plan Property,Dubai Marina,Villa,1.0,5501.2,1738.1,9561563.0,Binghatti Developers
TX1000176,2024-09-10,Sale,Existing Property,Al Barsha,Villa,1.0,3725.1,935.0,3482823.0,
TX1000177,2024-09-10,Sale,Off-Plan Property,DIFC,Land,,14315.2,2593.3,37124137.0,Damac Properties
TX1000178,2024-09-10,Sale,Existing Property,Arabian Ranches,Land,,14667.4,1467.1,21518033.0,
TX1000179,2024-09-10,Sale,Existing Property,Dubai Silicon Oasis,Apartment,2.0,1590.4,1120.7,1782369.0,
TX1000180,2024-09-10,Mortgage,Off-Plan Property,Palm Jumeirah,Apartment,2.0,1200.8,2948.5,3540520.0,Meraas
TX1000181,2024-09-10,Sale,Existing Property,DIFC,Townhouse,0.0,4482.6,3564.5,15977910.0,
TX1000182,2024-09-10,Sale,Existing Property,DIFC,Land,,11175.4,2984.0,33347367.0,
TX1000183,2024-09-10,Sale,Off-Plan Property,DIFC,Apartment,3.0,2030.2,2426.5,4926420.0,Dubai Properties
TX1000184,2024-09-10,Sale,Existing Property,Jumeirah Village Circle,Apartment,3.0,655.6,1126.9,738847.0,
TX1000185,2024-09-10,Mortgage,Off-Plan Property,Jumeirah Village Circle,Apartment,2.0,722.6,980.2,708268.0,Nakheel
TX1000186,2024-09-10,Sale,Existing Property,Palm Jumeirah,Apartment,1.0,1145.2,2985.4,3418716.0,
TX1000187,2024-09-10,Gift,Existing Property,Arabian Ranches,Villa,1.0,8796.9,1522.2,13390632.0,
TX1000188,2024-09-10,Sale,Existing Property,Deira,Apartment,1.0,950.6,764.5,726767.0,
TX1000189,2024-09-10,Sale,Existing Property,Dubai Hills Estate,Townhouse,3.0,4141.7,1897.7,7859541.0,
TX1000190,2024-09-10,Sale,Existing Property,Arabian Ranches,Office,,4889.1,1458.1,7129016.0,
TX1000191,2024-09-10,Sale,Existing Property,Jumeirah Village Circle,Office,,4739.6,1048.5,4969410.0,
TX1000192,2024-09-10,Mortgage,Off-Plan Property,Palm Jumeirah,Apartment,4.0,1842.6,3244.2,5977897.0,Meraas
TX1000193,2024-09-11,Sale,Off-Plan Property,Al Furjan,Office,,1617.1,1070.9,1731851.0,Ellington Properties
TX1000194,2024-09-11,Mortgage,Existing Property,Dubai Hills Estate,Apartment,3.0,892.8,1657.2,1479568.0,
TX1000195,2024-09-11,Sale,Off-Plan Property,Jumeirah Village Circle,Villa,0.0,4959.1,788.6,3910759.0,Azizi Developments
TX1000196,2024-09-11,Sale,Existing Property,Dubai Hills Estate,Apartment,0.0,1449.5,1249.9,1811735.0,
TX1000197,2024-09-11,Mortgage,Existing Property,Business Bay,Townhouse,3.0,2361.6,1570.1,3708013.0,
TX1000198,2024-09-11,Sale,Existing Property,Dubai Hills Estate,Villa,3.0,3078.8,1677.7,5165393.0,
TX1000199,2024-09-11,Sale,Existing Property,Dubai Marina,Office,,2109.1,2153.5,4541869.0,
TX1000200,2024-09-11,Sale,Existing Property,Dubai Marina,Land,,4541.4,1781.1,8088556.0,
TX1000201,2024-09-11,Sale,Existing Property,Dubai Silicon Oasis,Apartment,2.0,1289.0,786.8,1014137.0,
TX1000202,2024-09-11,Gift,Off-Plan Property,Dubai Marina,Apartment,2.0,1658.2,1809.8,3001061.0,Nakheel
TX1000203,2024-09-11,Sale,Existing Property,Deira,Apartment,3.0,2065.9,971.9,2007833.0,
TX1000204,2024-09-11,Sale,Existing Property,Jumeirah Lake Towers,Apartment,2.0,1770.5,1706.0,3020503.0,
TX1000205,2024-09-11,Mortgage,Existing Property,Dubai Silicon Oasis,Land,,4607.3,875.8,4035050.0,
TX1000206,2024-09-11,Sale,Existing Property,Arabian Ranches,Apartment,3.0,1261.7,1473.0,1858445.0,
TX1000207,2024-09-11,Mortgage,Existing Property,Business Bay,Townhouse,1.0,4250.5,1522.1,6469607.0,
TX1000208,2024-09-11,Sale,Existing Property,Dubai Sports City,Apartment,1.0,929.7,997.0,926934.0,
TX1000209,2024-09-11,Sale,Existing Property,Al Furjan,Apartment,1.0,2101.6,1160.0,2437874.0,
TX1000210,2024-09-11,Mortgage,Off-Plan Property,DIFC,Apartment,1.0,1931.7,2340.0,4520073.0,Binghatti Developers
TX1000211,2024-09-11,Sale,Off-Plan Property,Dubai Marina,Villa,4.0,6655.1,1847.2,12293480.0,Danube Properties
TX1000212,2024-09-11,Sale,Existing Property,Downtown Dubai,Villa,1.0,8031.5,1558.0,12513030.0,
TX1000213,2024-09-11,Sale,Off-Plan Property,Jumeirah Village Circle,Apartment,2.0,538.4,1036.2,557947.0,Emaar Properties
TX1000214,2024-09-11,Mortgage,Off-Plan Property,Business Bay,Apartment,4.0,1779.9,1520.9,2707187.0,Ellington Properties
TX1000215,2024-09-11,Mortgage,Off-Plan Property,Al Furjan,Townhouse,2.0,3766.6,1165.1,4388404.0,Emaar Properties
TX1000216,2024-09-11,Sale,Off-Plan Property,Palm Jumeirah,Apartment,1.0,1753.3,3310.4,5804257.0,Azizi Developments
TX1000217,2024-09-11,Sale,Off-Plan Property,Jumeirah Village Circle,Land,,3532.0,818.8,2891808.0,Azizi Developments
TX1000218,2024-09-11,Mortgage,Off-Plan Property,Mirdif,Apartment,3.0,1334.2,947.6,1264335.0,Damac Properties
TX1000219,2024-09-11,Sale,Off-Plan Property,Al Furjan,Apartment,3.0,2048.0,1174.2,2404804.0,Danube Properties
TX1000220,2024-09-11,Sale,Existing Property,Palm Jumeirah,Apartment,3.0,1365.4,2300.2,3140682.0,
TX1000221,2024-09-11,Sale,Existing Property,Dubai Hills Estate,Apartment,4.0,2131.1,1855.7,3954639.0,
TX1000222,2024-09-11,Sale,Existing Property,Al Barsha,Apartment,2.0,2172.3,1024.8,2226119.0,
TX1000223,2024-09-11,Mortgage,Existing Property,DIFC,Apartment,1.0,1279.4,3099.5,3965430.0,
TX1000224,2024-09-11,Mortgage,Existing Property,Mirdif,Land,,7360.9,951.4,7002831.0,
TX1000225,2024-09-11,Sale,Existing Property,Dubai Sports City,Apartment,2.0,947.1,931.3,882020.0,
TX1000226,2024-09-11,Sale,Off-Plan Property,Mirdif,Apartment,3.0,2165.0,856.1,1853326.0,Binghatti Developers
